Company,Technology,Mentions_SocialMedia,Mentions_Internet,Market_Penetration (%),Sentiment_SocialMedia,Sentiment_Internet,Innovation_Index,Category,Region,Revenue_Estimate (USD),Employee_Count,Date,Sentiment_Score_SocialMedia,Sentiment_Score_Internet,Growth_Rate_Mentions_SocialMedia,Growth_Rate_Mentions_Internet
Agritech Tunisia,IoT for Farming,351,43,7.15,neutre,négatif,4,Climate Change,Tunisia,4916741,742,2024-11-09,0,-1,0.0,0.0
Agritech Tunisia,Precision Agriculture,178,7,23.88,positif,positif,4,IoT,Europe,953318,135,2024-11-09,1,1,-0.49287749287749283,-0.8372093023255813
Agritech Tunisia,Agriculture 4.0,240,125,25.05,neutre,neutre,9,AI,North Africa,4222697,203,2024-11-09,0,0,0.348314606741573,16.857142857142858
Agritech Tunisia,Precision Agriculture,402,119,3.37,positif,positif,7,Drones,North Africa,2163385,907,2024-11-09,1,1,0.675,-0.04800000000000004
Agritech Tunisia,Climate-Smart Agriculture,483,140,21.87,négatif,positif,3,Drones,North Africa,354767,718,2024-11-09,-1,1,0.20149253731343286,0.17647058823529416
Agritech Tunisia,Agriculture 4.0,186,24,14.66,négatif,positif,3,Drones,Sub-Saharan Africa,3565381,207,2024-11-09,-1,1,-0.6149068322981366,-0.8285714285714285
Agritech Tunisia,Agriculture 4.0,153,224,24.65,négatif,négatif,10,Precision Agriculture,Tunisia,827958,111,2024-11-09,-1,-1,-0.17741935483870963,8.333333333333334
Agritech Tunisia,Water Management,396,274,22.87,neutre,positif,4,Technology Adoption,Europe,1260815,858,2024-11-09,0,1,1.5882352941176472,0.2232142857142858
Agritech Tunisia,Climate-Smart Agriculture,197,23,27.76,positif,positif,4,Precision Agriculture,Global,490319,992,2024-11-09,1,1,-0.5025252525252526,-0.916058394160584
Agritech Tunisia,Agriculture 4.0,349,275,9.15,négatif,négatif,4,Technology Adoption,North Africa,4298793,558,2024-11-09,-1,-1,0.7715736040609138,10.956521739130435
Agritech Tunisia,Sustainable Agriculture,27,30,10.03,positif,positif,9,Drones,Global,486616,597,2024-11-09,1,1,-0.9226361031518625,-0.8909090909090909
Agritech Tunisia,Sustainable Agriculture,250,79,19.49,positif,positif,9,Smart Irrigation,Tunisia,900533,401,2024-11-09,1,1,8.25925925925926,1.6333333333333333
Agritech Tunisia,Water Management,183,217,20.91,neutre,neutre,4,Technology Adoption,North Africa,2002215,855,2024-11-09,0,0,-0.268,1.7468354430379747
Agritech Tunisia,Precision Agriculture,14,42,13.81,neutre,neutre,8,Technology Adoption,Tunisia,999470,282,2024-11-09,0,0,-0.9234972677595629,-0.8064516129032258
Agritech Tunisia,Agriculture 4.0,323,162,27.92,positif,positif,1,Smart Irrigation,Europe,1943920,467,2024-11-09,1,1,22.071428571428573,2.857142857142857
Agritech Tunisia,Sustainable Agriculture,465,217,25.68,négatif,neutre,5,Precision Agriculture,Europe,1582120,408,2024-11-09,-1,0,0.4396284829721362,0.3395061728395061
Agritech Tunisia,Agricultural Robotics,113,41,5.44,négatif,positif,8,Water Management,Europe,3309832,444,2024-11-09,-1,1,-0.7569892473118279,-0.8110599078341014
Agritech Tunisia,Smart Irrigation,219,75,18.03,négatif,négatif,3,IoT,Tunisia,2886863,814,2024-11-09,-1,-1,0.9380530973451326,0.8292682926829269
Agritech Tunisia,IoT for Farming,265,75,5.17,négatif,neutre,9,AI,Global,2394733,352,2024-11-09,-1,0,0.21004566210045672,0.0
Agritech Tunisia,Sustainable Agriculture,320,152,4.1,positif,négatif,6,Technology Adoption,Global,2454458,303,2024-11-09,1,-1,0.2075471698113207,1.0266666666666668
Agritech Tunisia,Smart Irrigation,271,34,14.77,négatif,positif,9,AI,Global,4407911,31,2024-11-09,-1,1,-0.15312499999999996,-0.7763157894736842
Agritech Tunisia,Water Management,294,246,14.19,neutre,négatif,4,Robotics,Tunisia,2097737,866,2024-11-09,0,-1,0.08487084870848705,6.235294117647059
Agritech Tunisia,Smart Irrigation,88,59,28.74,positif,neutre,6,Climate Change,North Africa,2437459,754,2024-11-10,1,0,-0.7006802721088435,-0.7601626016260162
Agritech Tunisia,Climate-Smart Agriculture,497,208,6.43,négatif,neutre,10,Technology Adoption,Sub-Saharan Africa,538756,430,2024-11-10,-1,0,4.6477272727272725,2.5254237288135593
Agritech Tunisia,Agriculture 4.0,203,189,4.57,négatif,positif,8,Technology Adoption,Global,3257499,124,2024-11-10,-1,1,-0.5915492957746479,-0.09134615384615385
Agritech Tunisia,Water Management,70,272,15.66,neutre,neutre,9,Drones,Sub-Saharan Africa,3413990,307,2024-11-10,0,0,-0.6551724137931034,0.4391534391534391
